fonte,entidade,origem_arquivo,origem_registro,campo_original,tipo_original,rotulo_original,descricao_original,origem_conjunto,descricao_do_conjunto_original,modulo,publicado_em
ckan,concursos,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/c67c03857ead226e.json,Ato de Nomeação,text,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,concurso-2018-nomeados.ato_de_nomeacao
ckan,concursos,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89); concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/b3f53a207fc023e4.json,Cargo,text,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,concurso-2018-aprovados-por-cargo-e-categoria.cargo_na_fonte; concurso-2018-nomeados.cargo
ckan,concursos,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89); concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/b3f53a207fc023e4.json,Categoria,text,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,concurso-2018-aprovados-por-cargo-e-categoria.categoria; concurso-2018-funil.categoria; concurso-2018-nomeados.categoria
ckan,concursos,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89),data/raw/concursos/b3f53a207fc023e4.json,Classificação Final,numeric,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,não publicado
ckan,concursos,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/c67c03857ead226e.json,Exercício,text,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,não publicado
ckan,concursos,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/c67c03857ead226e.json,Exoneração,text,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,não publicado
ckan,concursos,concursos/Lista de Aprovados - Concurso 2018 (1b55e804-d185-45e8-b533-da5405df8d89); concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/b3f53a207fc023e4.json,Nome,text,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,concurso-2018-nomeados.nome
ckan,concursos,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/c67c03857ead226e.json,Nomeação,text,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,concurso-2018-nomeados.data_nomeacao_na_fonte
ckan,concursos,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/c67c03857ead226e.json,Nomeação Tornada sem Efeito,text,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,concurso-2018-nomeados.nomeacao_tornada_sem_efeito
ckan,concursos,concursos/Lista de Nomeados - Concurso 2018 (302e9632-379c-40d9-9d93-b398d92cfbb9),data/raw/concursos/c67c03857ead226e.json,Posse,text,n/d,n/d,data/raw/concursos/770c7a3e6ab2c3de.json,"1. Lista de aprovados (com classificação geral) e nomeados (com data e ato de nomeação) referentes ao último concurso (2018).

2. Mais Informações sobre os certames realizados, com a íntegra dos editais, disponíveis no Portal da Transparência da CLDF (https://www.cl.df.gov.br/web/portal-transparencia/concursos1). 

3. O último concurso público realizado pela CLDF ocorreu em 2018. Até o momento, não há previsão para a realização de novo certame na CLDF.




",concursos.py,não publicado
