sk_ato,chave_deputado,tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,consulta_digest,n_autores,valor_centavos,regra_chave
1,21,1,2022-06-21,2022,32,8,2895,api_i5,fb22edb3faa0c01f,1,,autor_id
2,20,1,2022-04-07,2022,32,8,3706,api_i5,eab666312b4a47e4,1,,autor_id
3,20,1,2022-04-07,2022,32,8,4066,api_i5,f38bef1e8623c51e,1,,autor_id
4,20,1,2022-04-06,2022,32,8,4327,api_i5,fd8a5e3c9592833d,1,,autor_id
5,29,1,2022-03-22,2022,32,8,4363,api_i5,c8aca31b3b10aeaa,1,,autor_id
6,16,1,2022-03-09,2022,32,8,4372,api_i5,9a3d472a663ecd3b,1,,autor_id
7,20,1,2022-04-20,2022,32,8,4418,api_i5,9a60c8f40ca3f4e5,1,,autor_id
8,20,1,2022-04-07,2022,32,8,4449,api_i5,62288924014b2bd3,1,,autor_id
9,35,1,2022-06-01,2022,32,8,4488,api_i5,8b9d7912b11bf454,1,,autor_id
10,35,1,2022-06-01,2022,32,8,4491,api_i5,a4b56f7390591127,1,,autor_id
11,28,1,2022-02-01,2022,32,8,4509,api_i5,c72dec61700b0b1a,1,,autor_id
12,28,1,2022-02-01,2022,32,8,4513,api_i5,e847e25fab0b3824,1,,autor_id
13,28,1,2022-02-01,2022,32,8,4515,api_i5,68744c41b83ab24f,1,,autor_id
14,28,1,2022-02-01,2022,32,8,4518,api_i5,77278375a2739c9a,1,,autor_id
15,28,1,2022-02-01,2022,32,8,4519,api_i5,eead2644a2d7ff0b,1,,autor_id
16,35,1,2022-06-01,2022,32,8,4820,api_i5,0eacf9cf1db2211f,1,,autor_id
17,26,1,2022-02-08,2022,32,8,4852,api_i5,2d2e07a32470d0b4,1,,autor_id
18,13,1,2022-02-08,2022,32,8,4907,api_i5,365910d8b3b95324,2,,autor_id
19,26,1,2022-02-08,2022,32,8,4907,api_i5,365910d8b3b95324,2,,autor_id
20,17,1,2022-02-08,2022,32,8,5101,api_i5,c007593283fd5973,4,,autor_id
21,19,1,2022-02-08,2022,32,8,5101,api_i5,c007593283fd5973,4,,autor_id
22,34,1,2022-02-08,2022,32,8,5101,api_i5,c007593283fd5973,4,,autor_id
23,35,1,2022-02-08,2022,32,8,5101,api_i5,c007593283fd5973,4,,autor_id
24,27,1,2022-02-01,2022,32,8,5154,api_i5,d121f3947661aebc,1,,autor_id
25,27,1,2022-02-10,2022,32,8,5158,api_i5,d9e3d9c4bf5fe0b8,1,,autor_id
26,27,1,2022-02-09,2022,32,8,5169,api_i5,58b14daeb06a9347,1,,autor_id
27,27,1,2022-02-09,2022,32,8,5181,api_i5,51cafb8df1ebd84f,1,,autor_id
28,27,1,2022-02-09,2022,32,8,5219,api_i5,1ec039fec402dd03,1,,autor_id
29,27,1,2022-02-09,2022,32,8,5221,api_i5,9d5a3ec0a1ee7e1d,1,,autor_id
30,27,1,2022-02-09,2022,32,8,5223,api_i5,66c4cccfe197d54d,1,,autor_id
31,27,1,2022-02-08,2022,32,8,5227,api_i5,9a4775ede0c2e513,1,,autor_id
32,27,1,2022-02-08,2022,32,8,5228,api_i5,807eb9a83c45189c,1,,autor_id
33,27,1,2022-02-08,2022,32,8,5229,api_i5,6434885469c67b2f,1,,autor_id
34,27,1,2022-02-08,2022,32,8,5233,api_i5,fba091e521623960,1,,autor_id
35,27,1,2022-02-08,2022,32,8,5237,api_i5,82748a35beec4953,1,,autor_id
36,28,1,2022-02-01,2022,32,8,5241,api_i5,164ffbe91a460ff6,4,,autor_id
37,29,1,2022-02-01,2022,32,8,5241,api_i5,164ffbe91a460ff6,4,,autor_id
38,33,1,2022-02-01,2022,32,8,5241,api_i5,164ffbe91a460ff6,4,,autor_id
39,34,1,2022-02-01,2022,32,8,5241,api_i5,164ffbe91a460ff6,4,,autor_id
40,35,1,2022-03-29,2022,32,8,5250,api_i5,ed03feb1a671a05a,1,,autor_id
41,27,1,2022-02-08,2022,32,8,5256,api_i5,983247b3eff7581a,1,,autor_id
42,27,1,2022-02-01,2022,32,8,5257,api_i5,114fb8ef63a6aac9,1,,autor_id
43,27,1,2022-02-09,2022,32,8,5258,api_i5,2ed49c0104d14d07,1,,autor_id
44,27,1,2022-02-08,2022,32,8,5261,api_i5,8d44c2098283c7e2,1,,autor_id
45,27,1,2022-02-08,2022,32,8,5262,api_i5,c9430ff3dc9069f5,1,,autor_id
46,26,1,2022-02-01,2022,32,8,5292,api_i5,6b505f897fbc91f3,1,,autor_id
47,27,1,2022-02-09,2022,32,8,5300,api_i5,2636d4ea56b6ef70,1,,autor_id
48,35,1,2022-02-01,2022,32,8,5324,api_i5,5336b83d0e498093,1,,autor_id
49,27,1,2022-02-09,2022,32,8,5327,api_i5,e7a2010f94117717,1,,autor_id
50,27,1,2022-02-09,2022,32,8,5328,api_i5,53978de02fc3ab54,1,,autor_id
51,27,1,2022-02-01,2022,32,8,5330,api_i5,61a6074bd22ab7f3,1,,autor_id
52,27,1,2022-02-01,2022,32,8,5331,api_i5,09269b3560ee9d31,1,,autor_id
53,27,1,2022-02-01,2022,32,8,5332,api_i5,8e0401e9f82de1b9,1,,autor_id
54,27,1,2022-02-01,2022,32,8,5333,api_i5,b4b6dd83c5b3b0ee,1,,autor_id
55,27,1,2022-02-01,2022,32,8,5376,api_i5,b5265cc486c3ffde,1,,autor_id
56,27,1,2022-02-01,2022,32,8,5397,api_i5,ff1fcf540800fa72,1,,autor_id
57,27,1,2022-02-01,2022,32,8,5398,api_i5,a6816122be76f3f0,1,,autor_id
58,27,1,2022-02-01,2022,32,8,5399,api_i5,6222b70fc4635daf,1,,autor_id
59,28,1,2022-02-01,2022,32,8,5407,api_i5,5e30a2c0dd10c282,3,,autor_id
60,33,1,2022-02-01,2022,32,8,5407,api_i5,5e30a2c0dd10c282,3,,autor_id
61,34,1,2022-02-01,2022,32,8,5407,api_i5,5e30a2c0dd10c282,3,,autor_id
62,27,1,2022-02-01,2022,32,8,5425,api_i5,cf6bedd7b1bfdea5,1,,autor_id
63,27,1,2022-02-01,2022,32,8,5428,api_i5,2a0a54d6433121d3,1,,autor_id
64,27,1,2022-02-01,2022,32,8,5429,api_i5,d02245e256665597,1,,autor_id
65,25,1,2022-03-17,2022,32,8,5439,api_i5,c1cc4137ec333360,3,,autor_id
66,30,1,2022-03-17,2022,32,8,5439,api_i5,c1cc4137ec333360,3,,autor_id
67,35,1,2022-03-17,2022,32,8,5439,api_i5,c1cc4137ec333360,3,,autor_id
68,25,1,2022-03-17,2022,32,8,5442,api_i5,2da33d1f0ad3d9e4,3,,autor_id
69,30,1,2022-03-17,2022,32,8,5442,api_i5,2da33d1f0ad3d9e4,3,,autor_id
70,35,1,2022-03-17,2022,32,8,5442,api_i5,2da33d1f0ad3d9e4,3,,autor_id
71,28,1,2022-02-01,2022,32,8,5625,api_i5,e3f20233e3e07a42,1,,autor_id
72,27,1,2022-02-01,2022,32,8,5694,api_i5,be780bd1a4fa83a7,1,,autor_id
73,26,1,2022-02-01,2022,32,8,5695,api_i5,fe895a677da0ab51,1,,autor_id
74,27,1,2022-02-01,2022,32,8,5708,api_i5,d884529a551a6db2,1,,autor_id
75,27,1,2022-02-01,2022,32,8,5711,api_i5,af0270c2447af45d,1,,autor_id
76,27,1,2022-02-01,2022,32,8,5712,api_i5,2fa3aa87c684925a,1,,autor_id
77,27,1,2022-02-01,2022,32,8,5721,api_i5,415db3c1e0f8215d,1,,autor_id
78,27,1,2022-02-01,2022,32,8,5729,api_i5,a06e9a2761c7ce48,1,,autor_id
79,19,1,2022-02-03,2022,32,8,5740,api_i5,ebe66fb9fc0c21e5,5,,autor_id
80,25,1,2022-02-03,2022,32,8,5740,api_i5,ebe66fb9fc0c21e5,5,,autor_id
81,34,1,2022-02-03,2022,32,8,5740,api_i5,ebe66fb9fc0c21e5,5,,autor_id
82,35,1,2022-02-03,2022,32,8,5740,api_i5,ebe66fb9fc0c21e5,5,,autor_id
83,53,1,2022-02-03,2022,32,8,5740,api_i5,ebe66fb9fc0c21e5,5,,autor_id
84,20,1,2022-04-05,2022,32,8,5741,api_i5,129888578be5826f,1,,autor_id
85,34,1,2022-03-17,2022,32,8,5746,api_i5,f2144bb363018fab,1,,autor_id
86,27,1,2022-02-01,2022,32,8,5757,api_i5,9d2a6157671261fa,1,,autor_id
87,27,1,2022-02-01,2022,32,8,5759,api_i5,b067ebed1513aec7,1,,autor_id
88,27,1,2022-02-01,2022,32,8,5786,api_i5,760efe11dadcd94d,1,,autor_id
89,27,1,2022-02-01,2022,32,8,5788,api_i5,c5e45b968000340f,1,,autor_id
90,27,1,2022-02-01,2022,32,8,5791,api_i5,6b2a23a592b4f3f8,1,,autor_id
91,27,1,2022-02-01,2022,32,8,5794,api_i5,35fa6864cc4ef1f2,1,,autor_id
92,32,1,2022-02-01,2022,32,8,5795,api_i5,18c4cf3dc7147ccd,1,,autor_id
93,17,1,2022-02-08,2022,32,8,5826,api_i5,93582ed739ee6648,1,,autor_id
94,27,1,2022-02-01,2022,32,8,5854,api_i5,7e5d77b30a9539d9,1,,autor_id
95,27,1,2022-02-01,2022,32,8,5857,api_i5,2a92ad4dc93e747a,1,,autor_id
96,27,1,2022-02-01,2022,32,8,5858,api_i5,3bbc932c8fc7940d,1,,autor_id
97,27,1,2022-02-01,2022,32,8,5864,api_i5,3b0c2b72ab0050b9,1,,autor_id
98,27,1,2022-02-01,2022,32,8,5870,api_i5,88058922418bf420,1,,autor_id
99,26,1,2022-02-01,2022,32,8,5872,api_i5,5ca17384a62a4b80,1,,autor_id
100,27,1,2022-02-01,2022,32,8,5874,api_i5,4d353342eba6eb65,1,,autor_id
101,27,1,2022-02-01,2022,32,8,5877,api_i5,ce6e6874e50e3ef4,1,,autor_id
102,19,1,2022-02-16,2022,32,8,5892,api_i5,ddba283bfc7b8403,1,,autor_id
103,33,1,2022-02-01,2022,32,8,5968,api_i5,de76e6e16d959922,1,,autor_id
104,16,1,2022-02-01,2022,32,8,6003,api_i5,981d297815f3a2df,4,,autor_id
105,28,1,2022-02-01,2022,32,8,6003,api_i5,981d297815f3a2df,4,,autor_id
106,29,1,2022-02-01,2022,32,8,6003,api_i5,981d297815f3a2df,4,,autor_id
107,32,1,2022-02-01,2022,32,8,6003,api_i5,981d297815f3a2df,4,,autor_id
108,33,1,2022-02-01,2022,32,8,6008,api_i5,e151c95581d0744d,1,,autor_id
109,33,1,2022-02-01,2022,32,8,6010,api_i5,bec9de3f385a0d45,1,,autor_id
110,28,1,2022-02-01,2022,32,8,6015,api_i5,a9f937d1d7595913,1,,autor_id
111,34,1,2022-02-01,2022,32,8,6016,api_i5,0559e1dacece0592,1,,autor_id
112,16,1,2022-02-02,2022,32,8,6017,api_i5,ab8158c731a6d475,3,,autor_id
113,19,1,2022-02-02,2022,32,8,6017,api_i5,ab8158c731a6d475,3,,autor_id
114,23,1,2022-02-02,2022,32,8,6017,api_i5,ab8158c731a6d475,3,,autor_id
115,18,1,2022-02-01,2022,32,8,6020,api_i5,f6d7a11fd8e8568a,1,,autor_id
116,18,1,2022-02-01,2022,32,8,6021,api_i5,0f4c0ce77f70b2b6,1,,autor_id
117,28,1,2022-02-01,2022,32,8,6022,api_i5,2886bccef2cb4b0b,1,,autor_id
118,28,1,2022-02-01,2022,32,8,6023,api_i5,64f3819914b62d94,1,,autor_id
119,23,1,2022-02-01,2022,32,8,6024,api_i5,9f3413cf9bd8407a,1,,autor_id
120,23,1,2022-02-01,2022,32,8,6033,api_i5,3ff878ea9893ebda,1,,autor_id
121,23,1,2022-02-01,2022,32,8,6035,api_i5,5608d33f1cf99045,1,,autor_id
122,18,1,2022-02-01,2022,32,8,6042,api_i5,9d1d1a4325a0ac0f,1,,autor_id
123,34,1,2022-02-01,2022,32,8,6050,api_i5,681e04971aa79794,1,,autor_id
124,34,1,2022-02-01,2022,32,8,6051,api_i5,5fdc081b43194476,1,,autor_id
125,32,1,2022-02-01,2022,32,8,6052,api_i5,ad97ce06cb8a9a45,1,,autor_id
126,19,1,2022-03-09,2022,32,8,6055,api_i5,65322179f23c7d68,5,,autor_id
127,28,1,2022-03-09,2022,32,8,6055,api_i5,65322179f23c7d68,5,,autor_id
128,29,1,2022-03-09,2022,32,8,6055,api_i5,65322179f23c7d68,5,,autor_id
129,34,1,2022-03-09,2022,32,8,6055,api_i5,65322179f23c7d68,5,,autor_id
130,35,1,2022-03-09,2022,32,8,6055,api_i5,65322179f23c7d68,5,,autor_id
131,6,1,2022-02-01,2022,32,8,6058,api_i5,9be7f6412a0c3ac8,1,,autor_id
132,18,1,2022-02-01,2022,32,8,6059,api_i5,8cf79dd9b3b46771,1,,autor_id
133,14,1,2022-02-01,2022,32,8,6061,api_i5,3535ca6e9e1fd396,5,,autor_id
134,15,1,2022-02-01,2022,32,8,6061,api_i5,3535ca6e9e1fd396,5,,autor_id
135,20,1,2022-02-01,2022,32,8,6061,api_i5,3535ca6e9e1fd396,5,,autor_id
136,29,1,2022-02-01,2022,32,8,6061,api_i5,3535ca6e9e1fd396,5,,autor_id
137,32,1,2022-02-01,2022,32,8,6061,api_i5,3535ca6e9e1fd396,5,,autor_id
138,14,1,2022-02-01,2022,32,8,6072,api_i5,a371f4b2aa007fad,5,,autor_id
139,15,1,2022-02-01,2022,32,8,6072,api_i5,a371f4b2aa007fad,5,,autor_id
140,20,1,2022-02-01,2022,32,8,6072,api_i5,a371f4b2aa007fad,5,,autor_id
141,29,1,2022-02-01,2022,32,8,6072,api_i5,a371f4b2aa007fad,5,,autor_id
142,32,1,2022-02-01,2022,32,8,6072,api_i5,a371f4b2aa007fad,5,,autor_id
143,33,1,2022-02-01,2022,32,8,6073,api_i5,c7cfe1584bd206eb,1,,autor_id
144,19,1,2022-03-31,2022,32,8,6074,api_i5,27949e23355711ab,3,,autor_id
145,34,1,2022-03-31,2022,32,8,6074,api_i5,27949e23355711ab,3,,autor_id
146,35,1,2022-03-31,2022,32,8,6074,api_i5,27949e23355711ab,3,,autor_id
147,19,1,2022-03-29,2022,32,8,6075,api_i5,7d65a21ee5a3b7ef,4,,autor_id
148,28,1,2022-03-29,2022,32,8,6075,api_i5,7d65a21ee5a3b7ef,4,,autor_id
149,34,1,2022-03-29,2022,32,8,6075,api_i5,7d65a21ee5a3b7ef,4,,autor_id
150,35,1,2022-03-29,2022,32,8,6075,api_i5,7d65a21ee5a3b7ef,4,,autor_id
151,33,1,2022-02-01,2022,32,8,6076,api_i5,03bd89cb45b675ec,1,,autor_id
152,34,1,2022-02-01,2022,32,8,6083,api_i5,b395988aabf98cd1,1,,autor_id
153,32,1,2022-02-01,2022,32,8,6084,api_i5,b6a6874c57ea8d88,1,,autor_id
154,35,1,2022-02-02,2022,32,8,6088,api_i5,3360c014fdb1560e,1,,autor_id
155,19,1,2022-02-01,2022,32,8,6089,api_i5,50d98594bc4b6494,4,,autor_id
156,28,1,2022-02-01,2022,32,8,6089,api_i5,50d98594bc4b6494,4,,autor_id
157,29,1,2022-02-01,2022,32,8,6089,api_i5,50d98594bc4b6494,4,,autor_id
158,32,1,2022-02-01,2022,32,8,6089,api_i5,50d98594bc4b6494,4,,autor_id
159,19,1,2022-02-01,2022,32,8,6092,api_i5,019106d2e458e0d3,4,,autor_id
160,28,1,2022-02-01,2022,32,8,6092,api_i5,019106d2e458e0d3,4,,autor_id
161,29,1,2022-02-01,2022,32,8,6092,api_i5,019106d2e458e0d3,4,,autor_id
162,32,1,2022-02-01,2022,32,8,6092,api_i5,019106d2e458e0d3,4,,autor_id
163,19,1,2022-02-01,2022,32,8,6097,api_i5,a4c55f086f0ef1d6,4,,autor_id
164,28,1,2022-02-01,2022,32,8,6097,api_i5,a4c55f086f0ef1d6,4,,autor_id
165,29,1,2022-02-01,2022,32,8,6097,api_i5,a4c55f086f0ef1d6,4,,autor_id
166,32,1,2022-02-01,2022,32,8,6097,api_i5,a4c55f086f0ef1d6,4,,autor_id
167,19,1,2022-02-01,2022,32,8,6098,api_i5,e46f81d66e1d1ee2,4,,autor_id
168,28,1,2022-02-01,2022,32,8,6098,api_i5,e46f81d66e1d1ee2,4,,autor_id
169,29,1,2022-02-01,2022,32,8,6098,api_i5,e46f81d66e1d1ee2,4,,autor_id
170,32,1,2022-02-01,2022,32,8,6098,api_i5,e46f81d66e1d1ee2,4,,autor_id
171,19,1,2022-02-01,2022,32,8,6101,api_i5,51c03c93073239e8,4,,autor_id
172,28,1,2022-02-01,2022,32,8,6101,api_i5,51c03c93073239e8,4,,autor_id
173,29,1,2022-02-01,2022,32,8,6101,api_i5,51c03c93073239e8,4,,autor_id
174,32,1,2022-02-01,2022,32,8,6101,api_i5,51c03c93073239e8,4,,autor_id
175,19,1,2022-02-01,2022,32,8,6102,api_i5,2841449429cfeb0d,4,,autor_id
176,28,1,2022-02-01,2022,32,8,6102,api_i5,2841449429cfeb0d,4,,autor_id
177,29,1,2022-02-01,2022,32,8,6102,api_i5,2841449429cfeb0d,4,,autor_id
178,32,1,2022-02-01,2022,32,8,6102,api_i5,2841449429cfeb0d,4,,autor_id
179,19,1,2022-02-01,2022,32,8,6105,api_i5,38071439707906aa,4,,autor_id
180,28,1,2022-02-01,2022,32,8,6105,api_i5,38071439707906aa,4,,autor_id
181,29,1,2022-02-01,2022,32,8,6105,api_i5,38071439707906aa,4,,autor_id
182,32,1,2022-02-01,2022,32,8,6105,api_i5,38071439707906aa,4,,autor_id
183,19,1,2022-02-01,2022,32,8,6106,api_i5,eabb3bb8e95575b9,4,,autor_id
184,28,1,2022-02-01,2022,32,8,6106,api_i5,eabb3bb8e95575b9,4,,autor_id
185,29,1,2022-02-01,2022,32,8,6106,api_i5,eabb3bb8e95575b9,4,,autor_id
186,32,1,2022-02-01,2022,32,8,6106,api_i5,eabb3bb8e95575b9,4,,autor_id
187,19,1,2022-02-01,2022,32,8,6107,api_i5,13c9812ddb1d1e59,4,,autor_id
188,28,1,2022-02-01,2022,32,8,6107,api_i5,13c9812ddb1d1e59,4,,autor_id
189,29,1,2022-02-01,2022,32,8,6107,api_i5,13c9812ddb1d1e59,4,,autor_id
190,32,1,2022-02-01,2022,32,8,6107,api_i5,13c9812ddb1d1e59,4,,autor_id
191,19,1,2022-02-01,2022,32,8,6111,api_i5,b003dd330caa7186,4,,autor_id
192,28,1,2022-02-01,2022,32,8,6111,api_i5,b003dd330caa7186,4,,autor_id
193,29,1,2022-02-01,2022,32,8,6111,api_i5,b003dd330caa7186,4,,autor_id
194,32,1,2022-02-01,2022,32,8,6111,api_i5,b003dd330caa7186,4,,autor_id
195,19,1,2022-02-01,2022,32,8,6114,api_i5,3a8e26e535ab533e,4,,autor_id
196,28,1,2022-02-01,2022,32,8,6114,api_i5,3a8e26e535ab533e,4,,autor_id
197,29,1,2022-02-01,2022,32,8,6114,api_i5,3a8e26e535ab533e,4,,autor_id
198,32,1,2022-02-01,2022,32,8,6114,api_i5,3a8e26e535ab533e,4,,autor_id
199,31,1,2022-02-01,2022,32,8,6119,api_i5,ead0a6337a867190,1,,autor_id
200,19,1,2022-03-29,2022,32,8,6122,api_i5,585d05639121093f,4,,autor_id
201,28,1,2022-03-29,2022,32,8,6122,api_i5,585d05639121093f,4,,autor_id
202,34,1,2022-03-29,2022,32,8,6122,api_i5,585d05639121093f,4,,autor_id
203,35,1,2022-03-29,2022,32,8,6122,api_i5,585d05639121093f,4,,autor_id
204,18,1,2022-02-01,2022,32,8,6124,api_i5,ef0a650737e33be5,1,,autor_id
205,33,1,2022-02-01,2022,32,8,6126,api_i5,ffe7cd2a805895e7,1,,autor_id
206,24,1,2022-02-01,2022,32,8,6130,api_i5,ecbf7497853e98bc,1,,autor_id
207,24,1,2022-02-01,2022,32,8,6134,api_i5,1d6300bcf5a08d69,1,,autor_id
208,24,1,2022-02-01,2022,32,8,6135,api_i5,2d08518a5e22f40d,1,,autor_id
209,24,1,2022-02-01,2022,32,8,6136,api_i5,82d2ac61c7d3b515,1,,autor_id
210,22,1,2022-02-01,2022,32,8,6137,api_i5,e325f13b790aaba6,1,,autor_id
211,24,1,2022-02-01,2022,32,8,6138,api_i5,0bdceeb3ffce2a80,1,,autor_id
212,31,1,2022-02-01,2022,32,8,6141,api_i5,bbc109e3ec098af3,1,,autor_id
213,31,1,2022-02-01,2022,32,8,6148,api_i5,48d28b8d1ba41b83,1,,autor_id
214,28,1,2022-02-23,2022,32,8,6150,api_i5,ae79ad2c53a701a7,3,,autor_id
215,32,1,2022-02-23,2022,32,8,6150,api_i5,ae79ad2c53a701a7,3,,autor_id
216,53,1,2022-02-23,2022,32,8,6150,api_i5,ae79ad2c53a701a7,3,,autor_id
217,28,1,2022-02-01,2022,32,8,6151,api_i5,278a366bd9bb233f,1,,autor_id
218,28,1,2022-02-23,2022,32,8,6161,api_i5,ef4df703adc0f4fe,3,,autor_id
219,32,1,2022-02-23,2022,32,8,6161,api_i5,ef4df703adc0f4fe,3,,autor_id
220,53,1,2022-02-23,2022,32,8,6161,api_i5,ef4df703adc0f4fe,3,,autor_id
221,31,1,2022-02-01,2022,32,8,6162,api_i5,aeb7956e344962ca,1,,autor_id
222,22,1,2022-02-01,2022,32,8,6163,api_i5,2df94cd7585efb7a,1,,autor_id
223,31,1,2022-02-01,2022,32,8,6164,api_i5,60885fad24a57fc7,1,,autor_id
224,26,1,2022-02-01,2022,32,8,6170,api_i5,831402c11c380a34,1,,autor_id
225,29,1,2022-02-01,2022,32,8,6175,api_i5,fd1847acde7ff09b,1,,autor_id
226,22,1,2022-02-01,2022,32,8,6177,api_i5,490eaefc767d988b,1,,autor_id
227,22,1,2022-02-08,2022,32,8,6180,api_i5,000236b046da05f6,1,,autor_id
228,22,1,2022-02-01,2022,32,8,6181,api_i5,9181168b2f0b35c5,1,,autor_id
229,28,1,2022-02-01,2022,32,8,6185,api_i5,3975eb8fb37b0900,1,,autor_id
230,28,1,2022-02-01,2022,32,8,6187,api_i5,5b52897ff64a865a,1,,autor_id
231,28,1,2022-02-01,2022,32,8,6189,api_i5,2fd0d14b2464742c,1,,autor_id
232,28,1,2022-02-01,2022,32,8,6192,api_i5,4e49cf8ec03d6bf0,1,,autor_id
233,28,1,2022-02-01,2022,32,8,6194,api_i5,3e1c968fab5e7043,1,,autor_id
234,28,1,2022-02-01,2022,32,8,6200,api_i5,24cc2465c566f516,1,,autor_id
235,31,1,2022-02-01,2022,32,8,6201,api_i5,eee4a2975833a37c,1,,autor_id
236,31,1,2022-02-01,2022,32,8,6202,api_i5,df54524a190fa647,1,,autor_id
237,22,1,2022-02-01,2022,32,8,6205,api_i5,1c460ec99fd63126,1,,autor_id
238,29,1,2022-02-01,2022,32,8,6206,api_i5,51aadf56107f7d69,1,,autor_id
239,24,1,2022-02-01,2022,32,8,6209,api_i5,fc7f378f67922a08,1,,autor_id
