sk_ato,proposicao_id,sigla_numero_ano,id_tipo_proposicao,ordem_autoria,ementa,etapa,data_leitura
1,2895,IND 8696/2022,,,"Sugere ao Excelentíssimo Senhor Governador do Distrito Federal Ibaneis Rocha, por intermédio da CEB, a substituição de lâmpadas queimadas nos arredores do Estádio Abadião, em Ceilândia, RA IX",Apresentação,2022-06-21
2,3706,REQ 3239/2022,,,"Solicita informações à Secretaria de Estado de Saúde do Distrito Federal a respeito da normatização e regulamentação do funcionamento do Ambulatório de Diversidades, instalado no Hospital Materno-Infantil de Brasília (HMIB)",Apresentação,2022-04-07
3,4066,REQ 3238/2022,,,"Solicita informações à Secretaria de Estado de Economia e  à Secretaria de Desenvolvimento Urbano e Habitação do Distrito Federal a respeito da locação de imóveis não residenciais para uso pela Administração Pública.
",Apresentação,2022-04-07
4,4327,REQ 3227/2022,,,"Solicita informações à Secretaria de Estado de Saúde do Distrito Federal referentes à falta do medicamento insulina de ação ultra-rápida na farmácia de alto custo do Distrito Federal.
",Apresentação,2022-04-06
5,4363,REQ 3199/2022,,,"Requer que o Projeto de Lei nº 1.948, de 2021, seja declarado prejudicado.",Apresentação,2022-03-22
6,4372,REQ 3148/2022,,,Requer a retirada e o arquivamento da proposição que menciona.,Apresentação,2022-03-09
7,4418,PL 2710/2022,,,Dispõe sobre a participação da comunidade acadêmica na nomeação de instituições de ensino superior públicas e de bens imóveis vinculados ,"Apresentação, Retorno(Parecer)",2022-04-20
8,4449,REQ 3236/2022,,,Requer informações à Secretaria de Segurança Pública e ao Comando da Polícia Militar do Distrito Federal acerca do contrato para aquisição de capacetes customizados.,Apresentação,2022-04-07
9,4488,PL 2825/2022,,,Institui e inclui no calendário oficial de eventos do Distrito Federal o Dia da Ordem Demolay.,"Apresentação, Retorno(Parecer)",2022-06-01
10,4491,PL 2826/2022,,,Institui e inclui no calendário oficial de eventos do Distrito Federal o Dia do Cruzeiro de Fé.,"Apresentação, Retorno(Parecer)",2022-06-01
11,4509,REQ 3044/2022,,,Requer a declaração de prejudicialidade do Projeto de Lei no 688/2019.,Apresentação,2022-02-01
12,4513,REQ 3039/2022,,,"Requer a declaração de prejudicialidade do Projeto de Lei no 291/2019.
",Apresentação,2022-02-01
13,4515,REQ 3040/2022,,,"Requer a declaração de prejudicialidade do Projeto de Lei no 1.805/2017.
",Apresentação,2022-02-01
