sk_ato,codigo_ra
1,IX
2,DISTRITO FEDERAL (INTEIRO)
3,DISTRITO FEDERAL (INTEIRO)
4,DISTRITO FEDERAL (INTEIRO)
5,DISTRITO FEDERAL (INTEIRO)
6,DISTRITO FEDERAL (INTEIRO)
7,DISTRITO FEDERAL (INTEIRO)
8,DISTRITO FEDERAL (INTEIRO)
9,DISTRITO FEDERAL (INTEIRO)
10,XI
11,DISTRITO FEDERAL (INTEIRO)
12,DISTRITO FEDERAL (INTEIRO)
13,DISTRITO FEDERAL (INTEIRO)
14,DISTRITO FEDERAL (INTEIRO)
15,DISTRITO FEDERAL (INTEIRO)
16,DISTRITO FEDERAL (INTEIRO)
17,II
18,DISTRITO FEDERAL (INTEIRO)
19,DISTRITO FEDERAL (INTEIRO)
20,DISTRITO FEDERAL (INTEIRO)
21,DISTRITO FEDERAL (INTEIRO)
22,DISTRITO FEDERAL (INTEIRO)
23,DISTRITO FEDERAL (INTEIRO)
24,VII
25,II
26,VI
27,XXVIII
28,II
29,I
30,I
31,II
32,III
33,III
34,I
35,I
36,XX
37,XX
38,XX
39,XX
40,DISTRITO FEDERAL (INTEIRO)
41,III
42,XV
43,III
44,III
45,XI
46,DISTRITO FEDERAL (INTEIRO)
47,IX
48,DISTRITO FEDERAL (INTEIRO)
49,III
50,XI
51,X
52,III
53,III
54,IX
55,VI
56,XI
57,III
58,III
59,DISTRITO FEDERAL (INTEIRO)
60,DISTRITO FEDERAL (INTEIRO)
61,DISTRITO FEDERAL (INTEIRO)
62,III
63,I
64,I
65,DISTRITO FEDERAL (INTEIRO)
66,DISTRITO FEDERAL (INTEIRO)
67,DISTRITO FEDERAL (INTEIRO)
68,DISTRITO FEDERAL (INTEIRO)
69,DISTRITO FEDERAL (INTEIRO)
70,DISTRITO FEDERAL (INTEIRO)
71,DISTRITO FEDERAL (INTEIRO)
72,DISTRITO FEDERAL (INTEIRO)
73,X
74,DISTRITO FEDERAL (INTEIRO)
75,DISTRITO FEDERAL (INTEIRO)
76,DISTRITO FEDERAL (INTEIRO)
77,DISTRITO FEDERAL (INTEIRO)
78,DISTRITO FEDERAL (INTEIRO)
79,DISTRITO FEDERAL (INTEIRO)
80,DISTRITO FEDERAL (INTEIRO)
81,DISTRITO FEDERAL (INTEIRO)
82,DISTRITO FEDERAL (INTEIRO)
83,DISTRITO FEDERAL (INTEIRO)
84,DISTRITO FEDERAL (INTEIRO)
85,DISTRITO FEDERAL (INTEIRO)
86,DISTRITO FEDERAL (INTEIRO)
87,DISTRITO FEDERAL (INTEIRO)
88,DISTRITO FEDERAL (INTEIRO)
89,DISTRITO FEDERAL (INTEIRO)
90,DISTRITO FEDERAL (INTEIRO)
91,DISTRITO FEDERAL (INTEIRO)
92,XV
93,DISTRITO FEDERAL (INTEIRO)
94,DISTRITO FEDERAL (INTEIRO)
95,DISTRITO FEDERAL (INTEIRO)
96,DISTRITO FEDERAL (INTEIRO)
97,DISTRITO FEDERAL (INTEIRO)
98,DISTRITO FEDERAL (INTEIRO)
99,DISTRITO FEDERAL (INTEIRO)
100,DISTRITO FEDERAL (INTEIRO)
101,DISTRITO FEDERAL (INTEIRO)
102,IX
103,DISTRITO FEDERAL (INTEIRO)
104,DISTRITO FEDERAL (INTEIRO)
105,DISTRITO FEDERAL (INTEIRO)
106,DISTRITO FEDERAL (INTEIRO)
107,DISTRITO FEDERAL (INTEIRO)
108,DISTRITO FEDERAL (INTEIRO)
108,IX
109,DISTRITO FEDERAL (INTEIRO)
109,IX
110,DISTRITO FEDERAL (INTEIRO)
111,DISTRITO FEDERAL (INTEIRO)
112,DISTRITO FEDERAL (INTEIRO)
113,DISTRITO FEDERAL (INTEIRO)
114,DISTRITO FEDERAL (INTEIRO)
115,DISTRITO FEDERAL (INTEIRO)
116,DISTRITO FEDERAL (INTEIRO)
117,DISTRITO FEDERAL (INTEIRO)
118,DISTRITO FEDERAL (INTEIRO)
119,DISTRITO FEDERAL (INTEIRO)
120,DISTRITO FEDERAL (INTEIRO)
121,DISTRITO FEDERAL (INTEIRO)
122,DISTRITO FEDERAL (INTEIRO)
123,DISTRITO FEDERAL (INTEIRO)
124,DISTRITO FEDERAL (INTEIRO)
125,DISTRITO FEDERAL (INTEIRO)
126,DISTRITO FEDERAL (INTEIRO)
127,DISTRITO FEDERAL (INTEIRO)
128,DISTRITO FEDERAL (INTEIRO)
129,DISTRITO FEDERAL (INTEIRO)
130,DISTRITO FEDERAL (INTEIRO)
131,DISTRITO FEDERAL (INTEIRO)
132,DISTRITO FEDERAL (INTEIRO)
133,DISTRITO FEDERAL (INTEIRO)
134,DISTRITO FEDERAL (INTEIRO)
135,DISTRITO FEDERAL (INTEIRO)
136,DISTRITO FEDERAL (INTEIRO)
137,DISTRITO FEDERAL (INTEIRO)
138,DISTRITO FEDERAL (INTEIRO)
139,DISTRITO FEDERAL (INTEIRO)
140,DISTRITO FEDERAL (INTEIRO)
141,DISTRITO FEDERAL (INTEIRO)
142,DISTRITO FEDERAL (INTEIRO)
143,DISTRITO FEDERAL (INTEIRO)
144,DISTRITO FEDERAL (INTEIRO)
145,DISTRITO FEDERAL (INTEIRO)
146,DISTRITO FEDERAL (INTEIRO)
147,DISTRITO FEDERAL (INTEIRO)
148,DISTRITO FEDERAL (INTEIRO)
149,DISTRITO FEDERAL (INTEIRO)
150,DISTRITO FEDERAL (INTEIRO)
151,DISTRITO FEDERAL (INTEIRO)
152,DISTRITO FEDERAL (INTEIRO)
153,IX
154,DISTRITO FEDERAL (INTEIRO)
155,DISTRITO FEDERAL (INTEIRO)
156,DISTRITO FEDERAL (INTEIRO)
157,DISTRITO FEDERAL (INTEIRO)
158,DISTRITO FEDERAL (INTEIRO)
159,DISTRITO FEDERAL (INTEIRO)
160,DISTRITO FEDERAL (INTEIRO)
161,DISTRITO FEDERAL (INTEIRO)
162,DISTRITO FEDERAL (INTEIRO)
163,DISTRITO FEDERAL (INTEIRO)
164,DISTRITO FEDERAL (INTEIRO)
165,DISTRITO FEDERAL (INTEIRO)
166,DISTRITO FEDERAL (INTEIRO)
167,DISTRITO FEDERAL (INTEIRO)
168,DISTRITO FEDERAL (INTEIRO)
169,DISTRITO FEDERAL (INTEIRO)
170,DISTRITO FEDERAL (INTEIRO)
171,DISTRITO FEDERAL (INTEIRO)
172,DISTRITO FEDERAL (INTEIRO)
173,DISTRITO FEDERAL (INTEIRO)
174,DISTRITO FEDERAL (INTEIRO)
175,DISTRITO FEDERAL (INTEIRO)
176,DISTRITO FEDERAL (INTEIRO)
177,DISTRITO FEDERAL (INTEIRO)
178,DISTRITO FEDERAL (INTEIRO)
179,DISTRITO FEDERAL (INTEIRO)
180,DISTRITO FEDERAL (INTEIRO)
181,DISTRITO FEDERAL (INTEIRO)
182,DISTRITO FEDERAL (INTEIRO)
183,DISTRITO FEDERAL (INTEIRO)
184,DISTRITO FEDERAL (INTEIRO)
185,DISTRITO FEDERAL (INTEIRO)
186,DISTRITO FEDERAL (INTEIRO)
187,DISTRITO FEDERAL (INTEIRO)
188,DISTRITO FEDERAL (INTEIRO)
189,DISTRITO FEDERAL (INTEIRO)
190,DISTRITO FEDERAL (INTEIRO)
191,DISTRITO FEDERAL (INTEIRO)
192,DISTRITO FEDERAL (INTEIRO)
193,DISTRITO FEDERAL (INTEIRO)
194,DISTRITO FEDERAL (INTEIRO)
195,DISTRITO FEDERAL (INTEIRO)
196,DISTRITO FEDERAL (INTEIRO)
197,DISTRITO FEDERAL (INTEIRO)
198,DISTRITO FEDERAL (INTEIRO)
199,XX
200,DISTRITO FEDERAL (INTEIRO)
201,DISTRITO FEDERAL (INTEIRO)
202,DISTRITO FEDERAL (INTEIRO)
203,DISTRITO FEDERAL (INTEIRO)
204,DISTRITO FEDERAL (INTEIRO)
205,DISTRITO FEDERAL (INTEIRO)
206,XIII
207,XIII
208,XIII
209,XIII
210,XIV
211,II
212,DISTRITO FEDERAL (INTEIRO)
213,IX
214,DISTRITO FEDERAL (INTEIRO)
215,DISTRITO FEDERAL (INTEIRO)
216,DISTRITO FEDERAL (INTEIRO)
217,DISTRITO FEDERAL (INTEIRO)
218,DISTRITO FEDERAL (INTEIRO)
219,DISTRITO FEDERAL (INTEIRO)
220,DISTRITO FEDERAL (INTEIRO)
221,IX
222,I
223,IX
224,DISTRITO FEDERAL (INTEIRO)
225,DISTRITO FEDERAL (INTEIRO)
226,XIX
227,OUTROS ESTADOS
228,OUTROS ESTADOS
229,DISTRITO FEDERAL (INTEIRO)
230,DISTRITO FEDERAL (INTEIRO)
231,DISTRITO FEDERAL (INTEIRO)
232,DISTRITO FEDERAL (INTEIRO)
233,DISTRITO FEDERAL (INTEIRO)
234,DISTRITO FEDERAL (INTEIRO)
235,IX
236,IX
237,II
238,DISTRITO FEDERAL (INTEIRO)
239,DISTRITO FEDERAL (INTEIRO)
240,DISTRITO FEDERAL (INTEIRO)
241,IX
242,II
243,II
244,DISTRITO FEDERAL (INTEIRO)
245,DISTRITO FEDERAL (INTEIRO)
246,DISTRITO FEDERAL (INTEIRO)
247,DISTRITO FEDERAL (INTEIRO)
248,DISTRITO FEDERAL (INTEIRO)
249,XXVI
250,DISTRITO FEDERAL (INTEIRO)
251,DISTRITO FEDERAL (INTEIRO)
252,DISTRITO FEDERAL (INTEIRO)
253,DISTRITO FEDERAL (INTEIRO)
254,XIX
255,XIII
256,DISTRITO FEDERAL (INTEIRO)
257,DISTRITO FEDERAL (INTEIRO)
258,DISTRITO FEDERAL (INTEIRO)
259,DISTRITO FEDERAL (INTEIRO)
260,DISTRITO FEDERAL (INTEIRO)
261,DISTRITO FEDERAL (INTEIRO)
262,DISTRITO FEDERAL (INTEIRO)
263,DISTRITO FEDERAL (INTEIRO)
264,DISTRITO FEDERAL (INTEIRO)
265,DISTRITO FEDERAL (INTEIRO)
266,DISTRITO FEDERAL (INTEIRO)
267,DISTRITO FEDERAL (INTEIRO)
268,DISTRITO FEDERAL (INTEIRO)
269,DISTRITO FEDERAL (INTEIRO)
270,DISTRITO FEDERAL (INTEIRO)
271,II
