sk_ato,documento_id,proposicao_id,id_tipo_documento,id_tipo_emenda,id_unidade_assinante,sigla_unidade,data_documento,texto_sha256
28689,13019,3706,80,,34,GAB DEP FÁBIO FÉLIX,2021-08-13T17:54:11.98,079c020696a3d1204231fe4813883a50eafe8db19ba05011fd7201420b97c279
28690,14432,4066,80,,34,GAB DEP FÁBIO FÉLIX,2021-09-01T19:30:04.173,360f2b1f14c6eb68d5c48e320db8d73825690b4f603e64ab4505143d0a10dc87
28691,15385,4327,80,,34,GAB DEP FÁBIO FÉLIX,2021-09-16T15:59:47.8,eb2e321fa07ee948f7ef069952dfd6a177148070176fda8896747a771c13d010
28692,15943,4418,25,,34,GAB DEP FÁBIO FÉLIX,2021-09-21T17:54:56.447,6854c37ce54a31e09626ed991ef7fcd7fd1866189f3a7b42c67fd1e1858f69d7
28693,16076,4449,80,,34,GAB DEP FÁBIO FÉLIX,2021-09-22T17:02:28.723,619e9e11ecac485b5c84431c4d83853df69f4d31e1081fe83bedf9a0b2ac0359
28694,20035,4852,78,,40,GAB DEP JORGE VIANNA,2021-10-18T08:19:18.77,0840c9f22ac4e4039217fce1c4e7f5646c91684d4972d9df98416e3fe836b8a9
28695,20604,4907,78,,40,GAB DEP JORGE VIANNA,2021-10-20T17:13:24.22,7be84b48cad4e79d5d949e509966034749461df0f17bcac975f71e37d76c5bd9
28696,22157,5101,77,,31,GAB DEP DANIEL DONIZET,2021-11-03T15:44:34.273,b377045e9d8463b6bce5909827efb7de9b5fd15eadbf5bb8ce831319e1025c19
28697,22157,5101,77,,33,GAB DEP EDUARDO PEDROSA,2021-11-03T15:44:34.273,b377045e9d8463b6bce5909827efb7de9b5fd15eadbf5bb8ce831319e1025c19
28698,22157,5101,77,,48,GAB DEP ROOSEVELT VILELA,2021-11-03T15:44:34.273,b377045e9d8463b6bce5909827efb7de9b5fd15eadbf5bb8ce831319e1025c19
28699,23167,5241,80,,47,GAB DEP ROBÉRIO NEGREIROS,2021-11-12T12:10:38.19,d9d7ee5030a61aab0aa9d9bd2853cb17fc599b5c68b1f6c449fc72a8a44dbec1
28700,23167,5241,80,,48,GAB DEP ROOSEVELT VILELA,2021-11-12T12:10:38.19,d9d7ee5030a61aab0aa9d9bd2853cb17fc599b5c68b1f6c449fc72a8a44dbec1
28701,23397,5292,25,,40,GAB DEP JORGE VIANNA,2021-11-17T15:08:07.713,e812757acb26b6f6cffd00b35fa084058a8be3101ebdba76a54f99f261a1a603
28702,24746,5407,80,,47,GAB DEP ROBÉRIO NEGREIROS,2021-11-23T16:42:18.413,b67f82922107b5023717f121ba93a2c49c63a16b5c88eb6628d155903c589914
28703,24746,5407,80,,48,GAB DEP ROOSEVELT VILELA,2021-11-23T16:42:18.413,b67f82922107b5023717f121ba93a2c49c63a16b5c88eb6628d155903c589914
28704,25038,5439,77,,39,GAB DEP JOÃO CARDOSO,2021-11-24T17:19:17.15,edbabba04f588dd30cb591c6a9b03cecc66e1a6ff4fc9221d0b8731cd51e9b5a
28705,25038,5439,77,,44,GAB DEP MARTINS MACHADO,2021-11-24T17:19:17.15,edbabba04f588dd30cb591c6a9b03cecc66e1a6ff4fc9221d0b8731cd51e9b5a
