sk_ato,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
76269,5708,38444,GAB DEP MARTINS MACHADO,,,,parecer_autor
76270,5757,38442,GAB DEP MARTINS MACHADO,,,,parecer_autor
76271,5854,38437,GAB DEP MARTINS MACHADO,,,,parecer_autor
76272,5857,50640,GAB DEP IOLANDO,,,,parecer_autor
76273,5864,49352,GAB DEP MARTINS MACHADO,,,,parecer_autor
76274,5864,41205,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76275,6017,42979,GAB DEP DANIEL DONIZET,,,,parecer_autor
76276,6017,38464,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76277,6020,36245,GAB DEP MARTINS MACHADO,,,,parecer_autor
76278,6024,41273,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76279,6058,46162,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76280,6073,45110,GAB DEP IOLANDO,,,,parecer_autor
76281,6076,38432,GAB DEP MARTINS MACHADO,,,,parecer_autor
76282,6124,36352,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76283,6126,53313,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76284,6126,40865,GAB DEP MARTINS MACHADO,,,,parecer_autor
76285,6141,49443,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76286,6278,38519,GAB DEP MARTINS MACHADO,,,,parecer_autor
76287,6278,42995,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76288,6302,38547,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76289,6304,38555,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76290,6460,36176,GAB DEP MARTINS MACHADO,,,,parecer_autor
76291,6784,41201,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76292,6826,45015,GAB DEP MARTINS MACHADO,,,,parecer_autor
76293,6908,42992,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76294,6948,49170,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76295,6972,48310,GAB DEP MARTINS MACHADO,,,,parecer_autor
76296,7074,43066,GAB DEP IOLANDO,,,,parecer_autor
76297,7076,49595,GAB DEP IOLANDO,,,,parecer_autor
76298,7165,41588,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76299,7175,41171,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76300,7177,41196,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76301,7178,41195,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76302,7179,40863,GAB DEP MARTINS MACHADO,,,,parecer_autor
76303,7190,41187,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76304,7191,41180,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76305,7192,41156,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76306,7200,40862,GAB DEP MARTINS MACHADO,,,,parecer_autor
76307,7201,40861,GAB DEP MARTINS MACHADO,,,,parecer_autor
76308,7202,40858,GAB DEP MARTINS MACHADO,,,,parecer_autor
76309,7203,40857,GAB DEP MARTINS MACHADO,,,,parecer_autor
76310,7204,40854,GAB DEP MARTINS MACHADO,,,,parecer_autor
76311,7206,40864,GAB DEP MARTINS MACHADO,,,,parecer_autor
76312,7207,41198,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76313,7208,41200,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76314,7253,50221,GAB DEP DANIEL DONIZET,,,,parecer_autor
76315,7269,40878,GAB DEP MARTINS MACHADO,,,,parecer_autor
76316,7696,52353,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76317,7751,46739,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76318,7772,49549,GAB DEP CHICO VIGILANTE,,,,parecer_autor
76319,7785,43269,GAB DEP MARTINS MACHADO,,,,parecer_autor
76320,7904,47828,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76321,7996,48007,GAB DEP HERMETO,,,,parecer_autor
76322,8021,45816,GAB DEP MARTINS MACHADO,,,,parecer_autor
76323,8023,48302,GAB DEP MARTINS MACHADO,,,,parecer_autor
76324,8036,49182,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76325,8050,51008,GAB DEP IOLANDO,,,,parecer_autor
76326,8094,48303,GAB DEP MARTINS MACHADO,,,,parecer_autor
76327,8160,47505,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76328,8181,44904,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76329,8243,49865,GAB DEP MARTINS MACHADO,,,,parecer_autor
76330,8253,48347,GAB DEP MARTINS MACHADO,,,,parecer_autor
76331,8288,51010,GAB DEP IOLANDO,,,,parecer_autor
76332,8353,45609,GAB DEP ROOSEVELT VILELA,,,,parecer_autor
76333,8374,48181,GAB DEP MARTINS MACHADO,,,,parecer_autor
76334,8384,47513,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76335,8682,50223,GAB DEP DANIEL DONIZET,,,,parecer_autor
76336,8758,50495,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76337,8823,53157,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76338,8942,49339,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76339,8958,50283,GAB DEP FÁBIO FÉLIX,,,,parecer_autor
76340,8963,49336,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76341,8964,48553,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76342,8969,49591,GAB DEP IOLANDO,,,,parecer_autor
76343,9108,49596,GAB DEP IOLANDO,,,,parecer_autor
76344,9137,49338,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76345,9187,49528,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76346,9268,50224,GAB DEP DANIEL DONIZET,,,,parecer_autor
76347,9439,50903,GAB DEP IOLANDO,,,,parecer_autor
76348,9509,51181,GAB DEP ROOSEVELT VILELA,,,,parecer_autor
76349,9618,53638,GAB DEP MARTINS MACHADO,,,,parecer_autor
76350,9831,53024,GAB DEP JORGE VIANNA,,,,parecer_autor
76351,4418,85686,GAB DEP GABRIEL MAGNO,Aprovado(a),merito_favoravel,"Diante do exposto, no âmbito desta CESC, manifestamos voto pela aprovação, no mérito, do Projeto de Lei nº 2710/2022.",parecer_autor
76352,4491,59414,GAB DEP FÁBIO FÉLIX,,,,parecer_autor
76353,5292,61912,GAB DEP PR DANIEL DE CASTRO,,,,parecer_autor
76354,5439,76233,GAB DEP PR DANIEL DE CASTRO,Aprovado(a),merito_favoravel,"Sob os critérios desta Comissão de Assuntos Sociais, somos, pela APROVAÇÃO do Projeto de Decreto Legislativo nº 260/2022, de autoria do nobre deputado JOÃO CARDOSO, por tratar-se de justa e honrosa homenagem a uma ilustre cidadã com relevantes serviços à população desta Capital.",parecer_autor
76355,5439,97784,GAB DEP THIAGO MANZONI,Aprovado(a),admissivel,"da Resolução nº 334/2023. O Projeto em tela foi apenas o primeiro do gênero apresentado pelo Deputado João Cardoso na condição de primeiro subscritor na sessão legislativa do ano de 2022. Pelo exposto, manifestamos voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 260/2022 no âmbito desta Comissão de Constituição e Justiça.",parecer_autor
76356,5442,81705,GAB DEP DAYSE AMARILIO,Aprovado(a),merito_favoravel,"Diante do exposto, no âmbito desta Comissão de Assuntos Sociais, o nosso voto é pela APROVAÇÃO do Projeto de Decreto Legislativo n° 261 de 2022.",parecer_autor
76357,5442,97986,GAB DEP THIAGO MANZONI,Aprovado(a),admissivel,"o na condição de primeiro subscritor na sessão legislativa de 2021. Em razão do exposto, e nada havendo qualquer reparo a apontar quanto aos aspectos de juridicidade, legalidade, regimentalidade, manifestamos nosso voto pela ADMISSIBILIDADE do Projeto de Decreto Legislativo nº 261/2022 no âmbito desta Comissão de Constituição e Justiça.",parecer_autor
