sk_ato,sk_sessao,data_sessao,tipo_sessao,ambiente,partido,registros
122145,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PL,1
122146,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PT,1
122147,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PT,1
122148,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PDT,1
122149,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PL,1
122150,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PROS,1
122151,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,REPUBLICANOS,1
122152,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PTC,1
122153,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PSOL,1
122154,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,MDB,1
122155,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PSC,1
122156,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PTB,1
122157,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PODEMOS,1
122158,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PSB,1
122159,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,AVANTE,1
122160,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,NOVO,1
122161,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,REDE,1
122162,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,REPUBLICANOS,1
122163,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PDT,1
122164,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,AVANTE,1
122165,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PSD,1
122166,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PSB,1
122167,4,2020-02-04,SESSAO ORDINARIA,PRESENCIAL,PP,1
122168,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,PL,2
122169,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,PT,1
122170,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,PT,1
122171,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,PDT,2
122172,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,PL,2
122173,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,PROS,2
122174,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,REPUBLICANOS,2
122175,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,PTC,2
122176,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,PSOL,1
122177,5,2020-02-05,SESSAO ORDINARIA,PRESENCIAL,MDB,2
