sk_contraparte,tipo,documento,nome
1,unidade,,BPPSOL-PSB
2,unidade,,CAF
3,unidade,,CAS
4,unidade,,CCJ
5,unidade,,CDC
6,unidade,,CDDHCLP
7,unidade,,CDDM
8,unidade,,CDESCTMAT
9,unidade,,CEC
10,unidade,,CEOF
11,unidade,,CERIM
12,unidade,,CFGTC
13,unidade,,CPI-RIO MELCHIOR
14,unidade,,CPRA
15,unidade,,CS
16,unidade,,CSA
17,unidade,,CTMU
18,unidade,,DAC
19,unidade,,DILEGIS
20,unidade,,GMD
21,unidade,,GP
22,unidade,,GPS
23,unidade,,GPVP
24,unidade,,GQS
25,unidade,,GSS
26,unidade,,GSVP
27,unidade,,GTS
28,unidade,,LIDGOV
29,unidade,,LIDPT
30,unidade,,MD
31,unidade,,PLENARIO
32,unidade,,SACP
33,unidade,,SACP - ART154
34,unidade,,SACP-IND
35,unidade,,SACT
36,unidade,,SELEG
37,unidade,,SELEGIS
38,unidade,,SPL
39,unidade,,UCC
