chave_deputado,nome_na_api,co_parlamentar,sk_parlamentar,matricula,nome_legal,partido_ultimo,presente_na_api,observacao
6,Poder Executivo,,,,,,1,
7,Tribunal de Contas do Distrito Federal,,,,,,1,
8,Comissão de Constituição e Justiça,,,,,,1,
9,"Comissão de Economia, Orçamento e Finanças",,,,,,1,
13,Deputado Agaciel Maia,1,4,,,,1,
14,Deputada Arlete Sampaio,2,5,,,,1,
15,Deputado Chico Vigilante,189,6,,,PT,1,
16,Deputado Claudio Abrantes,4,7,,,,1,
17,Deputado Daniel Donizet,188,8,,,MDB,1,
18,Deputado Delmasso,6,9,,,,1,
19,Deputado Eduardo Pedrosa,187,10,,,UNIÃO,1,
20,Deputado Fábio Felix,186,11,,,PSOL,1,
21,Deputado Delegado Fernando Fernandes,26,27,,,,1,
22,Deputado Hermeto,185,12,,,MDB,1,
23,Deputado Iolando,184,13,,,MDB,1,
24,Deputada Jaqueline Silva,183,14,,,MDB,1,
25,Deputado João Cardoso ,182,15,,,AVANTE,1,
26,Deputado Jorge Vianna,181,16,,,INVÁLIDO,1,
27,Deputado José Gomes,14,17,,,,1,
28,Deputada Júlia Lucy,15,18,,,,1,
29,Deputado Leandro Grass,16,19,,,,1,
30,Deputado Martins Machado,163,20,,,REPUBLICANOS,1,
31,Deputado Rafael Prudente,19,22,,,,1,
32,Deputado Professor Reginaldo Veras,18,21,,,,1,
33,Deputado Robério Negreiros,180,24,,,PSD,1,
34,Deputado Roosevelt Vilela,162,25,,,PL,1,
35,Deputado Reginaldo Sardinha,20,23,,,,1,
36,Deputado Valdelino Barcelos,24,26,,,,1,
42,Defensoria Pública do Distrito Federal,,,,,,1,
43,Comissão de Assuntos Fundiários,,,,,,1,
46,"Comissão de Defesa dos Direitos Humanos, Cidadania e Legislação Participativa",,,,,,1,
47,Comissão de Desenvolvimento Econômico Sustentável Ciência Tecnologia Meio Ambiente e Turismo,,,,,,1,
48,Comissão de Educação Saúde e Cultura,,,,,,1,
49,Comissão de Fiscalização Governança Transparência Controle,,,,,,1,
51,Comissão de Transporte e Mobilidade Urbana,,,,,,1,
53,Deputado Janio Farias Marques (Guarda Janio),29,29,,,,1,
54,Deputada Maria Antônia Rodrigues Magalhães (Professora Maria Antônia),30,30,,,,1,
55,Deputado Carlos Alberto Rodrigues Tabanez,31,31,,,,1,
56,Mesa Diretora,,,,,,1,
57,Deputado Ricardo Vale,160,41,,,PT,1,
58,Deputado Wellington Luiz,159,42,,,MDB,1,
59,Deputado Pastor Daniel de Castro,161,36,,,PP,1,
60,Deputada Dayse Amarilio,171,43,,,PSB,1,
61,Deputada Doutora Jane,175,37,,,REPUBLICANOS,1,
62,Deputado Joaquim Roriz Neto,176,35,,,PL,1,
63,Deputado Max Maciel,179,32,,,PSOL,1,
64,Deputada Paula Belmonte,172,40,,,INVÁLIDO,1,
65,Deputado Pepa,178,33,,,PP,1,
66,Deputado Thiago Manzoni,177,34,,,PL,1,
67,Deputado Rogério Morro da Cruz,174,38,,,PSD,1,
68,Deputado Gabriel Magno,173,39,,,PT,1,
69,Comissão de Produção Rural e Abastecimento,,,,,,1,
190,LUZIA DE PAULA,28,28,,,,0,Ausente na API I5; 5 presenças e 1 agregado no painel (OS-121)
236,Comissão de Saúde,,,,,,1,
237,Comissão de Educação e Cultura,,,,,,1,
238,Comissão de Defesa dos Direitos da Mulher,,,,,,1,
239,Comissão Parlamentar de Inquérito do Rio Melchior,,,,,,1,
240,Sugestão Legislativa,,,,,,1,
