codigo_ra,nome_canonico,grafia_api,codigo_localizacao,grafia_orcamento,geografica
DF - REGIÃO CENTRAL,DF - REGIÃO CENTRAL,,80,DF - REGIÃO CENTRAL,0
DF - REGIÃO CENTRAL - ADJACENTE II,DF - REGIÃO CENTRAL - ADJACENTE II,,82,DF - REGIÃO CENTRAL - ADJACENTE II,0
DF - REGIÃO CENTRAL - ADJACENTE II.2,DF - REGIÃO CENTRAL - ADJACENTE II,,82,DF- REGIÃO CENTRAL - ADJACENTE II,0
DF - REGIÃO CENTRO-OESTE,DF - REGIÃO CENTRO-OESTE,,94,DF - REGIÃO CENTRO-OESTE,0
DF - REGIÃO CENTRO-OESTE.2,DF - REGIÃO CENTRO-OESTE,,94,REGIÃO CENTRO OESTE,0
DF - REGIÃO NORTE,DF - REGIÃO NORTE,,84,DF- REGIÃO NORTE,0
DF - REGIÃO OESTE,DF - REGIÃO OESTE,,83,DF- REGIÃO OESTE,0
DF - REGIÃO OESTE.2,DF - REGIÃO OESTE,,83,.DF- REGIÃO OESTE,0
DF - REGIÃO SUL,DF - REGIÃO SUL,,86,DF- REGIÃO SUL,0
DF ENTORNO,DF ENTORNO,,95,DF ENTORNO,0
DISTRITO FEDERAL (INTEIRO),DISTRITO FEDERAL (INTEIRO),DISTRITO FEDERAL (INTEIRO),99,DISTRITO FEDERAL,0
ENTORNO,ENTORNO,ENTORNO,96,ENTORNO,0
EXTERIOR,EXTERIOR,,98,EXTERIOR,0
I,REGIÃO I - PLANO PILOTO,REGIÃO I - PLANO PILOTO,1,REGIÃO I - PLANO PILOTO,1
I.2,REGIÃO I - PLANO PILOTO,,1,REGIÃO I - PLANO PILOTO .,1
II,REGIÃO II - GAMA,REGIÃO II - GAMA,2,REGIÃO II - GAMA,1
III,REGIÃO III - TAGUATINGA,REGIÃO III - TAGUATINGA,3,REGIÃO III - TAGUATINGA,1
IV,REGIÃO IV - BRAZLÂNDIA,REGIÃO IV - BRAZLÂNDIA,4,REGIÃO IV - BRAZLÂNDIA,1
IX,REGIÃO IX - CEILÂNDIA,REGIÃO IX - CEILÂNDIA,9,REGIÃO IX - CEILÂNDIA,1
OUTROS ESTADOS,OUTROS ESTADOS,OUTROS ESTADOS,97,OUTROS ESTADOS,0
V,REGIÃO V - SOBRADINHO,REGIÃO V - SOBRADINHO,5,REGIÃO V - SOBRADINHO,1
VI,REGIÃO VI - PLANALTINA,REGIÃO VI - PLANALTINA,6,REGIÃO VI - PLANALTINA,1
VII,REGIÃO VII - PARANOÁ,REGIÃO VII - PARANOÁ,7,REGIÃO VII - PARANOÁ,1
VIII,REGIÃO VIII - NÚCLEO BANDEIRANTE,REGIÃO VIII - NÚCLEO BANDEIRANTE,8,REGIÃO VIII - NÚCLEO BANDEIRANTE,1
X,REGIÃO X - GUARÁ,REGIÃO X - GUARÁ,10,REGIÃO X - GUARÁ,1
XI,REGIÃO XI - CRUZEIRO,REGIÃO XI - CRUZEIRO,11,REGIÃO XI - CRUZEIRO,1
XII,REGIÃO XII - SAMAMBAIA,REGIÃO XII - SAMAMBAIA,12,REGIÃO XII - SAMAMBAIA,1
XIII,REGIÃO XIII - SANTA MARIA,REGIÃO XIII - SANTA MARIA,13,REGIÃO XIII - SANTA MARIA,1
XIV,REGIÃO XIV - SÃO SEBASTIÃO,REGIÃO XIV - SÃO SEBASTIÃO,14,REGIÃO XIV - SÃO SEBASTIÃO,1
XIX,REGIÃO XIX - CANDANGOLÂNDIA,REGIÃO XIX - CANDANGOLÂNDIA,19,REGIÃO XIX - CANDANGOLÂNDIA,1
XV,REGIÃO XV - RECANTO DAS EMAS,REGIÃO XV - RECANTO DAS EMAS,15,REGIÃO XV - RECANTO DAS EMAS,1
XVI,REGIÃO XVI - LAGO SUL,REGIÃO XVI - LAGO SUL,16,REGIÃO XVI - LAGO SUL,1
XVII,REGIÃO XVII - RIACHO FUNDO,REGIÃO XVII - RIACHO FUNDO,17,REGIÃO XVII - RIACHO FUNDO,1
XVIII,REGIÃO XVIII - LAGO NORTE,REGIÃO XVIII - LAGO NORTE,18,REGIÃO XVIII - LAGO NORTE,1
XX,REGIÃO XX - ÁGUAS CLARAS,REGIÃO XX - ÁGUAS CLARAS,20,REGIÃO XX - ÁGUAS CLARAS,1
XXI,REGIÃO XXI - RIACHO FUNDO II,REGIÃO XXI - RIACHO FUNDO II,21,REGIÃO XXI - RIACHO FUNDO II,1
XXII,REGIÃO XXII - SUDOESTE/OCTOGONAL,REGIÃO XXII - SUDOESTE/OCTOGONAL,22,REGIÃO XXII - SUDOESTE/OCTOGONAL,1
XXIII,REGIÃO XXIII- VARJÃO,REGIÃO XXIII- VARJÃO,23,REGIÃO XXIII- VARJÃO,1
XXIV,REGIÃO XXIV - PARK WAY,REGIÃO XXIV - PARK WAY,24,REGIÃO XXIV - PARK WAY,1
XXIX,REGIÃO XXIX - SIA,REGIÃO XXIX - SIA,29,REGIÃO XXIX - SIA,1
XXV,REGIÃO XXV - SETOR COMPL. DE IND. E ABASTECIMENTO / ESTRUTURAL,REGIÃO XXV - SETOR COMPL. DE IND. E ABASTECIMENTO / ESTRUTURAL,25,REGIÃO XXV - SETOR COMPL. DE IND. E ABASTECIMENTO,1
XXVI,REGIÃO XXVI - SOBRADINHO II,REGIÃO XXVI - SOBRADINHO II,26,REGIÃO XXVI - SOBRADINHO II,1
XXVII,REGIÃO XXVII - JARDIM BOTÂNICO,REGIÃO XXVII - JARDIM BOTÂNICO,27,REGIÃO XXVII - JARDIM BOTÂNICO,1
