sk_ato,ordem,tipo_movimento,unidade_orcamentaria,funcao,subfuncao,programa,acao,subtitulo,codigo_ra,natureza,fonte,valor_centavos
141250,1,decrescimo,16101,13,392,6219,9112,4,DISTRITO FEDERAL (INTEIRO),335041,100,10000000
141250,2,acrescimo,22201,15,451,6209,1110,9998,DISTRITO FEDERAL (INTEIRO),449051,100,10000000
141251,1,decrescimo,23901,10,122,6202,4166,74,DISTRITO FEDERAL (INTEIRO),339039,100,100000000
141251,2,acrescimo,23901,10,302,6202,2145,20005,DISTRITO FEDERAL (INTEIRO),339039,100,100000000
141252,1,decrescimo,23901,10,302,6202,4009,16,DISTRITO FEDERAL (INTEIRO),339030,100,100000000
141252,2,acrescimo,23901,10,302,6202,2145,20006,DISTRITO FEDERAL (INTEIRO),339039,100,100000000
141253,1,decrescimo,90101,99,999,9999,9999,1,DISTRITO FEDERAL (INTEIRO),999999,100,100000000
141253,2,acrescimo,23901,10,302,6202,2145,20008,DISTRITO FEDERAL (INTEIRO),339039,100,100000000
141254,1,decrescimo,90101,99,999,9999,9999,1,DISTRITO FEDERAL (INTEIRO),999999,100,100000000
141254,2,acrescimo,23901,10,302,6202,2145,20009,DISTRITO FEDERAL (INTEIRO),339039,100,100000000
141255,1,decrescimo,90101,99,999,9999,9999,1,DISTRITO FEDERAL (INTEIRO),999999,100,100000000
141255,2,acrescimo,23901,10,122,6202,4166,20010,DISTRITO FEDERAL (INTEIRO),339039,100,100000000
141256,1,decrescimo,90101,99,999,9999,9999,1,DISTRITO FEDERAL (INTEIRO),999999,100,100000000
141256,2,acrescimo,23901,10,302,6202,2145,20012,DISTRITO FEDERAL (INTEIRO),339039,100,100000000
141257,1,decrescimo,90101,99,999,9999,9999,1,DISTRITO FEDERAL (INTEIRO),999999,100,100000000
141257,2,acrescimo,23901,10,302,6202,2145,20011,DISTRITO FEDERAL (INTEIRO),339039,100,100000000
