sk_ato,id_comissao,sigla_comissao,tipo_membro,vota,data_inicio,data_fim
142767,1,CCJ,Membro,,2025-11-25T11:20:00,2025-11-25T13:40:00
142768,1,CCJ,Suplente,,2025-11-25T11:20:00,2025-11-25T13:40:00
142769,1,CCJ,Membro,,2025-11-25T11:20:00,2025-11-25T13:40:00
142770,1,CCJ,Suplente,,2025-11-25T11:20:00,2025-11-25T13:40:00
142771,1,CCJ,Vice-Presidente,,2025-11-25T11:20:00,2025-11-25T13:40:00
142772,1,CCJ,Suplente,,2025-11-25T11:20:00,2025-11-25T13:40:00
142773,1,CCJ,Presidente,,2025-11-25T11:20:00,2025-11-25T13:40:00
142774,1,CCJ,Suplente,,2025-11-25T11:20:00,2025-11-25T13:40:00
142775,1,CCJ,Membro,,2025-11-25T11:20:00,2025-11-25T13:40:00
142776,1,CCJ,Suplente,,2025-11-25T11:20:00,2025-11-25T13:40:00
142777,1,CCJ,Vice-Presidente,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142778,1,CCJ,Suplente,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142779,1,CCJ,Presidente,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142780,1,CCJ,Suplente,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142781,1,CCJ,Membro,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142782,1,CCJ,Suplente,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142783,1,CCJ,Membro,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142784,1,CCJ,Suplente,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142785,1,CCJ,Membro,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142786,1,CCJ,Suplente,,2026-05-19T10:00:00,2026-05-19T11:33:44.693
142787,16,CPI-RIO MELCHIOR,Membro,,2025-11-12T00:00:00,2025-11-13T17:38:49
142788,16,CPI-RIO MELCHIOR,Suplente,,2025-11-12T00:00:00,2025-11-13T17:38:49
142789,16,CPI-RIO MELCHIOR,Membro,,2025-11-12T00:00:00,2025-11-13T17:38:49
142790,16,CPI-RIO MELCHIOR,Vice-Presidente,,2025-11-12T00:00:00,2025-11-13T17:38:49
142791,16,CPI-RIO MELCHIOR,Suplente,,2025-11-12T00:00:00,2025-11-13T17:38:49
142792,16,CPI-RIO MELCHIOR,Presidente,,2025-11-12T00:00:00,2025-11-13T17:38:49
142793,16,CPI-RIO MELCHIOR,Suplente,,2025-11-12T00:00:00,2025-11-13T17:38:49
142794,16,CPI-RIO MELCHIOR,Membro,,2025-11-12T00:00:00,2025-11-13T17:38:49
142795,16,CPI-RIO MELCHIOR,Suplente,,2025-11-12T00:00:00,2025-11-13T17:38:49
142796,9,CDESCTMAT,Vice-Presidente,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142797,9,CDESCTMAT,Suplente,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142798,9,CDESCTMAT,Presidente,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142799,9,CDESCTMAT,Suplente,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142800,9,CDESCTMAT,Membro,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142801,9,CDESCTMAT,Suplente,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142802,9,CDESCTMAT,Membro,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142803,9,CDESCTMAT,Suplente,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142804,9,CDESCTMAT,Membro,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142805,9,CDESCTMAT,Suplente,,2026-08-25T00:00:00,2026-08-26T14:59:23.757
142806,7,CEC,Membro,,2025-08-18T00:00:00,2025-08-22T23:59:59
142807,7,CEC,Suplente,,2025-08-18T00:00:00,2025-08-22T23:59:59
142808,7,CEC,Presidente,,2025-08-18T00:00:00,2025-08-22T23:59:59
142809,7,CEC,Suplente,,2025-08-18T00:00:00,2025-08-22T23:59:59
142810,7,CEC,Membro,,2025-08-18T00:00:00,2025-08-22T23:59:59
142811,7,CEC,Suplente,,2025-08-18T00:00:00,2025-08-22T23:59:59
142812,7,CEC,Vice-Presidente,,2025-08-18T00:00:00,2025-08-22T23:59:59
142813,7,CEC,Suplente,,2025-08-18T00:00:00,2025-08-22T23:59:59
142814,7,CEC,Membro,,2025-08-18T00:00:00,2025-08-22T23:59:59
142815,7,CEC,Suplente,,2025-08-18T00:00:00,2025-08-22T23:59:59
142816,9,CDESCTMAT,Membro,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142817,9,CDESCTMAT,Suplente,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142818,9,CDESCTMAT,Presidente,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142819,9,CDESCTMAT,Suplente,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142820,9,CDESCTMAT,Vice-Presidente,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142821,9,CDESCTMAT,Suplente,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142822,9,CDESCTMAT,Membro,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142823,9,CDESCTMAT,Suplente,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142824,9,CDESCTMAT,Membro,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142825,9,CDESCTMAT,Suplente,,2025-12-01T00:00:00,2025-12-02T18:00:55.49
142826,3,CAS,Membro,,2026-06-11T00:00:00,2026-06-19T23:59:00
142827,3,CAS,Suplente,,2026-06-11T00:00:00,2026-06-19T23:59:00
142828,3,CAS,Vice-Presidente,,2026-06-11T00:00:00,2026-06-19T23:59:00
142829,3,CAS,Suplente,,2026-06-11T00:00:00,2026-06-19T23:59:00
142830,3,CAS,Membro,,2026-06-11T00:00:00,2026-06-19T23:59:00
142831,3,CAS,Suplente,,2026-06-11T00:00:00,2026-06-19T23:59:00
142832,3,CAS,Presidente,,2026-06-11T00:00:00,2026-06-19T23:59:00
142833,3,CAS,Suplente,,2026-06-11T00:00:00,2026-06-19T23:59:00
142834,3,CAS,Membro,,2026-06-11T00:00:00,2026-06-19T23:59:00
142835,3,CAS,Suplente,,2026-06-11T00:00:00,2026-06-19T23:59:00
142836,3,CAS,Membro,,2026-08-24T00:00:00,2026-08-28T23:59:00
142837,3,CAS,Suplente,,2026-08-24T00:00:00,2026-08-28T23:59:00
142838,3,CAS,Presidente,,2026-08-24T00:00:00,2026-08-28T23:59:00
142839,3,CAS,Suplente,,2026-08-24T00:00:00,2026-08-28T23:59:00
142840,3,CAS,Vice-Presidente,,2026-08-24T00:00:00,2026-08-28T23:59:00
