sk_ato,documento_id,proposicao_id,comissao_sigla,marca,assinou,data_documento
88158,98131,15738,CDESCTMAT,favoravel,0,2023-10-19
88159,98131,15738,CDESCTMAT,favoravel,1,2023-10-19
88160,98131,15738,CDESCTMAT,favoravel,1,2023-10-19
88161,98131,15738,CDESCTMAT,,0,2023-10-19
88162,98131,15738,CDESCTMAT,favoravel,1,2023-10-19
88163,98131,15738,CDESCTMAT,,0,2023-10-19
88164,98131,15738,CDESCTMAT,,0,2023-10-19
88165,98131,15738,CDESCTMAT,,0,2023-10-19
88166,98131,15738,CDESCTMAT,,0,2023-10-19
88167,98131,15738,CDESCTMAT,,0,2023-10-19
88168,289740,18857,CAS,favoravel,0,2025-03-14
88169,289740,18857,CAS,favoravel,0,2025-03-14
88170,289740,18857,CAS,,0,2025-03-14
88171,289740,18857,CAS,favoravel,0,2025-03-14
88172,289740,18857,CAS,,0,2025-03-14
88173,289740,18857,CAS,,0,2025-03-14
88174,289740,18857,CAS,,0,2025-03-14
88175,289740,18857,CAS,,0,2025-03-14
88176,289740,18857,CAS,,0,2025-03-14
88177,289740,18857,CAS,,0,2025-03-14
88178,306242,18857,CDDHCLP,favoravel,1,2025-08-15
88179,306242,18857,CDDHCLP,,0,2025-08-15
88180,306242,18857,CDDHCLP,favoravel,0,2025-08-15
88181,306242,18857,CDDHCLP,favoravel,0,2025-08-15
88182,306242,18857,CDDHCLP,favoravel,0,2025-08-15
88183,306242,18857,CDDHCLP,,0,2025-08-15
88184,306242,18857,CDDHCLP,,0,2025-08-15
88185,306242,18857,CDDHCLP,,0,2025-08-15
88186,306242,18857,CDDHCLP,,0,2025-08-15
88187,306242,18857,CDDHCLP,,0,2025-08-15
88188,343110,158713,CSA,favoravel,0,2026-09-10
88189,343110,158713,CSA,favoravel,0,2026-09-10
88190,343110,158713,CSA,favoravel,0,2026-09-10
88191,343110,158713,CSA,favoravel,0,2026-09-10
88192,343110,158713,CSA,favoravel,0,2026-09-10
88193,343110,158713,CSA,,0,2026-09-10
88194,343110,158713,CSA,,0,2026-09-10
88195,343110,158713,CSA,,0,2026-09-10
88196,343110,158713,CSA,,0,2026-09-10
88197,343110,158713,CSA,,0,2026-09-10
88198,85478,14005,CAS,favoravel,1,2023-08-23
88199,85478,14005,CAS,favoravel,1,2023-08-23
88200,85478,14005,CAS,,0,2023-08-23
88201,85478,14005,CAS,favoravel,1,2023-08-23
88202,85478,14005,CAS,,0,2023-08-23
88203,85478,14005,CAS,,0,2023-08-23
88204,85478,14005,CAS,,0,2023-08-23
88205,85478,14005,CAS,,0,2023-08-23
88206,85478,14005,CAS,,0,2023-08-23
88207,279143,22103,CAS,favoravel,0,2024-11-29
88208,279143,22103,CAS,favoravel,1,2024-11-29
88209,279143,22103,CAS,,0,2024-11-29
88210,279143,22103,CAS,,0,2024-11-29
88211,279143,22103,CAS,,0,2024-11-29
88212,279143,22103,CAS,,0,2024-11-29
88213,279143,22103,CAS,,0,2024-11-29
88214,279143,22103,CAS,,0,2024-11-29
88215,279143,22103,CAS,,0,2024-11-29
88216,76454,11134,CTMU,favoravel,1,2023-05-31
88217,76454,11134,CTMU,favoravel,1,2023-05-31
88218,76454,11134,CTMU,favoravel,1,2023-05-31
88219,76454,11134,CTMU,favoravel,1,2023-05-31
88220,76454,11134,CTMU,favoravel,1,2023-05-31
88221,76454,11134,CTMU,,0,2023-05-31
88222,76454,11134,CTMU,,0,2023-05-31
88223,76454,11134,CTMU,,0,2023-05-31
88224,76454,11134,CTMU,,0,2023-05-31
88225,78255,11134,CTMU,favoravel,1,2023-06-13
88226,78255,11134,CTMU,favoravel,1,2023-06-13
88227,78255,11134,CTMU,favoravel,1,2023-06-13
88228,78255,11134,CTMU,favoravel,1,2023-06-13
88229,78255,11134,CTMU,favoravel,1,2023-06-13
88230,78255,11134,CTMU,,0,2023-06-13
88231,78255,11134,CTMU,,0,2023-06-13
88232,78255,11134,CTMU,,0,2023-06-13
88233,78255,11134,CTMU,,0,2023-06-13
88234,79965,9200,CDESCTMAT,favoravel,1,2023-06-23
88235,79965,9200,CDESCTMAT,,0,2023-06-23
88236,79965,9200,CDESCTMAT,favoravel,1,2023-06-23
88237,79965,9200,CDESCTMAT,,0,2023-06-23
88238,79965,9200,CDESCTMAT,favoravel,1,2023-06-23
88239,79965,9200,CDESCTMAT,,0,2023-06-23
88240,79965,9200,CDESCTMAT,,0,2023-06-23
88241,79965,9200,CDESCTMAT,,0,2023-06-23
88242,79965,9200,CDESCTMAT,,0,2023-06-23
88243,79965,9200,CDESCTMAT,,0,2023-06-23
88244,98822,14427,CAS,favoravel,1,2023-10-25
88245,98822,14427,CAS,favoravel,1,2023-10-25
88246,98822,14427,CAS,favoravel,1,2023-10-25
88247,98822,14427,CAS,,0,2023-10-25
88248,98822,14427,CAS,,0,2023-10-25
88249,98822,14427,CAS,,0,2023-10-25
88250,98822,14427,CAS,,0,2023-10-25
88251,98822,14427,CAS,,0,2023-10-25
88252,98822,14427,CAS,,0,2023-10-25
88253,128185,13755,CAS,favoravel,1,2024-08-09
88254,128185,13755,CAS,,0,2024-08-09
88255,128185,13755,CAS,favoravel,1,2024-08-09
88256,128185,13755,CAS,,0,2024-08-09
88257,128185,13755,CAS,,0,2024-08-09
88258,128185,13755,CAS,,0,2024-08-09
88259,128185,13755,CAS,,0,2024-08-09
88260,128185,13755,CAS,,0,2024-08-09
88261,128185,13755,CAS,,0,2024-08-09
88262,295046,13755,CEOF,favoravel,1,2025-05-06
88263,295046,13755,CEOF,,0,2025-05-06
88264,295046,13755,CEOF,,0,2025-05-06
88265,295046,13755,CEOF,,0,2025-05-06
88266,295046,13755,CEOF,favoravel,0,2025-05-06
88267,295046,13755,CEOF,,0,2025-05-06
88268,295046,13755,CEOF,favoravel,0,2025-05-06
88269,295046,13755,CEOF,,0,2025-05-06
88270,295046,13755,CEOF,,0,2025-05-06
88271,295046,13755,CEOF,,0,2025-05-06
88272,124561,18172,CS,favoravel,1,2024-06-12
88273,124561,18172,CS,favoravel,1,2024-06-12
88274,124561,18172,CS,favoravel,1,2024-06-12
88275,124561,18172,CS,,0,2024-06-12
88276,124561,18172,CS,,0,2024-06-12
88277,124561,18172,CS,,0,2024-06-12
88278,124561,18172,CS,,0,2024-06-12
88279,124561,18172,CS,,0,2024-06-12
88280,124561,18172,CS,,0,2024-06-12
88281,124561,18172,CS,,0,2024-06-12
88282,137912,18172,CCJ,favoravel,0,2024-10-17
88283,137912,18172,CCJ,,0,2024-10-17
88284,137912,18172,CCJ,favoravel,1,2024-10-17
88285,137912,18172,CCJ,,0,2024-10-17
88286,137912,18172,CCJ,favoravel,1,2024-10-17
88287,137912,18172,CCJ,,0,2024-10-17
88288,137912,18172,CCJ,,0,2024-10-17
88289,137912,18172,CCJ,,0,2024-10-17
88290,137912,18172,CCJ,,0,2024-10-17
88291,137912,18172,CCJ,,0,2024-10-17
88292,96470,16068,CEOF,favoravel,1,2023-10-07
88293,96470,16068,CEOF,favoravel,1,2023-10-07
88294,96470,16068,CEOF,favoravel,1,2023-10-07
88295,96470,16068,CEOF,favoravel,1,2023-10-07
88296,96470,16068,CEOF,favoravel,1,2023-10-07
88297,96470,16068,CEOF,,0,2023-10-07
88298,96470,16068,CEOF,,0,2023-10-07
88299,96470,16068,CEOF,,0,2023-10-07
88300,96470,16068,CEOF,,0,2023-10-07
88301,96470,16068,CEOF,,0,2023-10-07
88302,102504,16068,CEOF,favoravel,1,2023-11-13
88303,102504,16068,CEOF,,0,2023-11-13
88304,102504,16068,CEOF,favoravel,1,2023-11-13
