sk_ato,co_materia,tipo_votacao,materia_texto,id_proposicao,voto,data_evento,sk_sessao
79093,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79094,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79095,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79096,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79097,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79098,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79099,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79100,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79101,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79102,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79103,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79104,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79105,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79106,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79107,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79108,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79109,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79110,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79111,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79112,368,NOMINAL,PLC  37/2023 - 1º TURNO,17415,SIM,2025-11-04,
79113,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79114,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79115,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79116,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79117,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79118,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79119,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79120,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79121,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79122,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79123,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79124,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79125,369,NOMINAL,PLC  37/2023 - 2º TURNO,17415,SIM,2025-11-04,
79126,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79127,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79128,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79129,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79130,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79131,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79132,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79133,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79134,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79135,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79136,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79137,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79138,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79139,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79140,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79141,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
79142,1106,NOMINAL,VETO TOTAL PROJETO DE LEI Nº 438/2019,,SIM,2023-04-04,
