sk_ato,chave_deputado,nome_na_api,partido_ultimo,tipo_ato,nome_tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,valor_centavos,regra_chave,proposicao_id,documento_id,comissao_sigla,verdict_estrutural,verdict_prosa,clausula,via
76269,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-04-04,2022,32,8,5708,api_i8,,normalizar,5708,38444,GAB DEP MARTINS MACHADO,,,,parecer_autor
76270,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-04-04,2022,32,8,5757,api_i8,,normalizar,5757,38442,GAB DEP MARTINS MACHADO,,,,parecer_autor
76271,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-04-04,2022,32,8,5854,api_i8,,normalizar,5854,38437,GAB DEP MARTINS MACHADO,,,,parecer_autor
76272,23,Deputado Iolando,MDB,3,relatou (parecer),2022-10-28,2022,32,8,5857,api_i8,,normalizar,5857,50640,GAB DEP IOLANDO,,,,parecer_autor
76273,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-09-08,2022,32,8,5864,api_i8,,normalizar,5864,49352,GAB DEP MARTINS MACHADO,,,,parecer_autor
76274,33,Deputado Robério Negreiros,PSD,3,relatou (parecer),2022-05-03,2022,32,8,5864,api_i8,,normalizar,5864,41205,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76275,17,Deputado Daniel Donizet,MDB,3,relatou (parecer),2022-05-16,2022,32,8,6017,api_i8,,normalizar,6017,42979,GAB DEP DANIEL DONIZET,,,,parecer_autor
76276,25,Deputado João Cardoso ,AVANTE,3,relatou (parecer),2022-04-04,2022,32,8,6017,api_i8,,normalizar,6017,38464,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76277,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-03-18,2022,32,8,6020,api_i8,,normalizar,6020,36245,GAB DEP MARTINS MACHADO,,,,parecer_autor
76278,33,Deputado Robério Negreiros,PSD,3,relatou (parecer),2022-05-03,2022,32,8,6024,api_i8,,normalizar,6024,41273,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76279,25,Deputado João Cardoso ,AVANTE,3,relatou (parecer),2022-06-24,2022,32,8,6058,api_i8,,normalizar,6058,46162,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76280,23,Deputado Iolando,MDB,3,relatou (parecer),2022-06-10,2022,32,8,6073,api_i8,,normalizar,6073,45110,GAB DEP IOLANDO,,,,parecer_autor
76281,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-04-04,2022,32,8,6076,api_i8,,normalizar,6076,38432,GAB DEP MARTINS MACHADO,,,,parecer_autor
76282,25,Deputado João Cardoso ,AVANTE,3,relatou (parecer),2022-03-21,2022,32,8,6124,api_i8,,normalizar,6124,36352,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76283,24,Deputada Jaqueline Silva,MDB,3,relatou (parecer),2022-11-30,2022,32,8,6126,api_i8,,normalizar,6126,53313,GAB DEP JAQUELINE SILVA,,,,parecer_autor
76284,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-04-29,2022,32,8,6126,api_i8,,normalizar,6126,40865,GAB DEP MARTINS MACHADO,,,,parecer_autor
76285,33,Deputado Robério Negreiros,PSD,3,relatou (parecer),2022-09-12,2022,32,8,6141,api_i8,,normalizar,6141,49443,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76286,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-04-05,2022,32,8,6278,api_i8,,normalizar,6278,38519,GAB DEP MARTINS MACHADO,,,,parecer_autor
76287,33,Deputado Robério Negreiros,PSD,3,relatou (parecer),2022-05-16,2022,32,8,6278,api_i8,,normalizar,6278,42995,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76288,25,Deputado João Cardoso ,AVANTE,3,relatou (parecer),2022-04-05,2022,32,8,6302,api_i8,,normalizar,6302,38547,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76289,25,Deputado João Cardoso ,AVANTE,3,relatou (parecer),2022-04-05,2022,32,8,6304,api_i8,,normalizar,6304,38555,GAB DEP JOÃO CARDOSO,,,,parecer_autor
76290,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-03-17,2022,32,8,6460,api_i8,,normalizar,6460,36176,GAB DEP MARTINS MACHADO,,,,parecer_autor
76291,33,Deputado Robério Negreiros,PSD,3,relatou (parecer),2022-05-03,2022,32,8,6784,api_i8,,normalizar,6784,41201,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
76292,30,Deputado Martins Machado,REPUBLICANOS,3,relatou (parecer),2022-06-09,2022,32,8,6826,api_i8,,normalizar,6826,45015,GAB DEP MARTINS MACHADO,,,,parecer_autor
76293,33,Deputado Robério Negreiros,PSD,3,relatou (parecer),2022-05-16,2022,32,8,6908,api_i8,,normalizar,6908,42992,GAB DEP ROBÉRIO NEGREIROS,,,,parecer_autor
