sk_ato,chave_deputado,tipo_ato,data,ano,sessao_legislativa,legislatura,id_objeto,fonte,consulta_digest,n_autores,valor_centavos,regra_chave,sk_ato:1,documento_id,proposicao_id,comissao_sigla,marca,assinou,data_documento
88158,17,4,2023-10-19,2023,33,9,folha/98131,documento_ativas,00020976958bf8d4,1,,normalizar,88158,98131,15738,CDESCTMAT,favoravel,0,2023-10-19
88159,64,4,2023-10-19,2023,33,9,folha/98131,documento_ativas,00020976958bf8d4,1,,normalizar,88159,98131,15738,CDESCTMAT,favoravel,1,2023-10-19
88160,61,4,2023-10-19,2023,33,9,folha/98131,documento_ativas,00020976958bf8d4,1,,normalizar,88160,98131,15738,CDESCTMAT,favoravel,1,2023-10-19
88162,62,4,2023-10-19,2023,33,9,folha/98131,documento_ativas,00020976958bf8d4,1,,normalizar,88162,98131,15738,CDESCTMAT,favoravel,1,2023-10-19
88168,67,4,2025-03-14,2025,35,9,folha/289740,documento_ativas,0025d6c2eb999a38,1,,normalizar,88168,289740,18857,CAS,favoravel,0,2025-03-14
88169,63,4,2025-03-14,2025,35,9,folha/289740,documento_ativas,0025d6c2eb999a38,1,,normalizar,88169,289740,18857,CAS,favoravel,0,2025-03-14
88171,30,4,2025-03-14,2025,35,9,folha/289740,documento_ativas,0025d6c2eb999a38,1,,normalizar,88171,289740,18857,CAS,favoravel,0,2025-03-14
88178,20,4,2025-08-15,2025,35,9,folha/306242,documento_ativas,0025d6c2eb999a38,1,,normalizar,88178,306242,18857,CDDHCLP,favoravel,1,2025-08-15
88180,25,4,2025-08-15,2025,35,9,folha/306242,documento_ativas,0025d6c2eb999a38,1,,normalizar,88180,306242,18857,CDDHCLP,favoravel,0,2025-08-15
88181,67,4,2025-08-15,2025,35,9,folha/306242,documento_ativas,0025d6c2eb999a38,1,,normalizar,88181,306242,18857,CDDHCLP,favoravel,0,2025-08-15
88182,24,4,2025-08-15,2025,35,9,folha/306242,documento_ativas,0025d6c2eb999a38,1,,normalizar,88182,306242,18857,CDDHCLP,favoravel,0,2025-08-15
88188,60,4,2026-09-10,2026,36,9,folha/343110,documento_ativas,002c3c0f33538c06,1,,normalizar,88188,343110,158713,CSA,favoravel,0,2026-09-10
88189,26,4,2026-09-10,2026,36,9,folha/343110,documento_ativas,002c3c0f33538c06,1,,normalizar,88189,343110,158713,CSA,favoravel,0,2026-09-10
88190,30,4,2026-09-10,2026,36,9,folha/343110,documento_ativas,002c3c0f33538c06,1,,normalizar,88190,343110,158713,CSA,favoravel,0,2026-09-10
88191,59,4,2026-09-10,2026,36,9,folha/343110,documento_ativas,002c3c0f33538c06,1,,normalizar,88191,343110,158713,CSA,favoravel,0,2026-09-10
88192,68,4,2026-09-10,2026,36,9,folha/343110,documento_ativas,002c3c0f33538c06,1,,normalizar,88192,343110,158713,CSA,favoravel,0,2026-09-10
88198,60,4,2023-08-23,2023,33,9,folha/85478,documento_ativas,003e94d77be54af8,1,,normalizar,88198,85478,14005,CAS,favoravel,1,2023-08-23
88199,63,4,2023-08-23,2023,33,9,folha/85478,documento_ativas,003e94d77be54af8,1,,normalizar,88199,85478,14005,CAS,favoravel,1,2023-08-23
88201,30,4,2023-08-23,2023,33,9,folha/85478,documento_ativas,003e94d77be54af8,1,,normalizar,88201,85478,14005,CAS,favoravel,1,2023-08-23
88207,60,4,2024-11-29,2024,34,9,folha/279143,documento_ativas,0065a7978c6f846d,1,,normalizar,88207,279143,22103,CAS,favoravel,0,2024-11-29
88208,63,4,2024-11-29,2024,34,9,folha/279143,documento_ativas,0065a7978c6f846d,1,,normalizar,88208,279143,22103,CAS,favoravel,1,2024-11-29
88216,63,4,2023-05-31,2023,33,9,folha/76454,documento_ativas,00915ce6067d6fd9,1,,normalizar,88216,76454,11134,CTMU,favoravel,1,2023-05-31
88217,30,4,2023-05-31,2023,33,9,folha/76454,documento_ativas,00915ce6067d6fd9,1,,normalizar,88217,76454,11134,CTMU,favoravel,1,2023-05-31
88218,20,4,2023-05-31,2023,33,9,folha/76454,documento_ativas,00915ce6067d6fd9,1,,normalizar,88218,76454,11134,CTMU,favoravel,1,2023-05-31
88219,68,4,2023-05-31,2023,33,9,folha/76454,documento_ativas,00915ce6067d6fd9,1,,normalizar,88219,76454,11134,CTMU,favoravel,1,2023-05-31
88220,65,4,2023-05-31,2023,33,9,folha/76454,documento_ativas,00915ce6067d6fd9,1,,normalizar,88220,76454,11134,CTMU,favoravel,1,2023-05-31
88225,63,4,2023-06-13,2023,33,9,folha/78255,documento_ativas,00915ce6067d6fd9,1,,normalizar,88225,78255,11134,CTMU,favoravel,1,2023-06-13
88226,30,4,2023-06-13,2023,33,9,folha/78255,documento_ativas,00915ce6067d6fd9,1,,normalizar,88226,78255,11134,CTMU,favoravel,1,2023-06-13
88227,20,4,2023-06-13,2023,33,9,folha/78255,documento_ativas,00915ce6067d6fd9,1,,normalizar,88227,78255,11134,CTMU,favoravel,1,2023-06-13
88228,68,4,2023-06-13,2023,33,9,folha/78255,documento_ativas,00915ce6067d6fd9,1,,normalizar,88228,78255,11134,CTMU,favoravel,1,2023-06-13
88229,65,4,2023-06-13,2023,33,9,folha/78255,documento_ativas,00915ce6067d6fd9,1,,normalizar,88229,78255,11134,CTMU,favoravel,1,2023-06-13
88234,17,4,2023-06-23,2023,33,9,folha/79965,documento_ativas,00b80da7714aea12,1,,normalizar,88234,79965,9200,CDESCTMAT,favoravel,1,2023-06-23
88236,61,4,2023-06-23,2023,33,9,folha/79965,documento_ativas,00b80da7714aea12,1,,normalizar,88236,79965,9200,CDESCTMAT,favoravel,1,2023-06-23
88238,62,4,2023-06-23,2023,33,9,folha/79965,documento_ativas,00b80da7714aea12,1,,normalizar,88238,79965,9200,CDESCTMAT,favoravel,1,2023-06-23
